Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 60.0 degree
   X,       Y
10340.0, 0.38712326
10350.0, 0.38709065
10360.0, 0.38705808
10370.0, 0.38702556
10380.0, 0.3869931
10390.0, 0.38696074
10400.0, 0.38692844
10410.0, 0.38689616
10420.0, 0.38686398
10430.0, 0.38683185
10440.0, 0.38679978
10450.0, 0.38676777
10460.0, 0.3867358
10470.0, 0.3867039
10480.0, 0.3866721
10490.0, 0.38664034
10500.0, 0.38660863
10510.0, 0.38657698
10520.0, 0.3865454
10530.0, 0.3865139
10540.0, 0.38648242
10550.0, 0.386451
10560.0, 0.38641965
10570.0, 0.3863884
10580.0, 0.38635716
10590.0, 0.38632601
10600.0, 0.3862949
10610.0, 0.38626385
10620.0, 0.38623288
10630.0, 0.38620195
10640.0, 0.3861711
10650.0, 0.3861403
10660.0, 0.38610953
10670.0, 0.38607886
10680.0, 0.3860482
10690.0, 0.38601765
10700.0, 0.38598713
10710.0, 0.38595667
10720.0, 0.3859263
10730.0, 0.38589597
10740.0, 0.3858657
10750.0, 0.38583547
10760.0, 0.3858053
10770.0, 0.3857752
10780.0, 0.38574514
10790.0, 0.38571516
10800.0, 0.38568524
10810.0, 0.38565537
10820.0, 0.38562554
10830.0, 0.3855958
10840.0, 0.3855661
10850.0, 0.38553646
10860.0, 0.38550687
10870.0, 0.38547733
10880.0, 0.38544786
10890.0, 0.38541844
10900.0, 0.38538906
10910.0, 0.38535976
10920.0, 0.38533053
10930.0, 0.38530132
10940.0, 0.3852722
10950.0, 0.38524312
10960.0, 0.38521412
10970.0, 0.38518512
10980.0, 0.3851562
10990.0, 0.38512737
11000.0, 0.38509858
11010.0, 0.38506982
11020.0, 0.38504115
11030.0, 0.3850125
11040.0, 0.38498393
11050.0, 0.38495538
11060.0, 0.38492692
11070.0, 0.3848985
11080.0, 0.38487014
11090.0, 0.38484183
11100.0, 0.38481358
11110.0, 0.38478538
11120.0, 0.38475725
11130.0, 0.38472918
11140.0, 0.38470113
11150.0, 0.38467315
11160.0, 0.38464522
11170.0, 0.38461736
11180.0, 0.38458952
11190.0, 0.38456178
