Energy (in eV), SEEE yield of material CERS-withBUCT at isotropic incidence
   X,       Y
9900.0, 2.9119737
9910.0, 2.9101634
9920.0, 2.9083562
9930.0, 2.9065516
9940.0, 2.9047499
9950.0, 2.9029512
9960.0, 2.9011548
9970.0, 2.8993616
9980.0, 2.8975713
9990.0, 2.8957832
10000.0, 2.893998
10010.0, 2.8922155
10020.0, 2.890436
10030.0, 2.8886597
10040.0, 2.886885
10050.0, 2.8851137
10060.0, 2.8833447
10070.0, 2.881579
10080.0, 2.8798156
10090.0, 2.8780549
10100.0, 2.8762968
10110.0, 2.8745415
10120.0, 2.8727887
10130.0, 2.8710387
10140.0, 2.8692915
10150.0, 2.8675466
10160.0, 2.8658051
10170.0, 2.8640652
10180.0, 2.8623285
10190.0, 2.8605945
10200.0, 2.8588629
10210.0, 2.857134
10220.0, 2.8554075
10230.0, 2.853684
10240.0, 2.8519628
10250.0, 2.8502443
10260.0, 2.8485281
10270.0, 2.846815
10280.0, 2.845104
10290.0, 2.843396
10300.0, 2.8416898
10310.0, 2.8399866
10320.0, 2.8382864
10330.0, 2.8365881
10340.0, 2.8348927
10350.0, 2.8331993
10360.0, 2.831509
10370.0, 2.8298209
10380.0, 2.8281355
10390.0, 2.8264527
10400.0, 2.8247721
10410.0, 2.8230946
10420.0, 2.8214188
10430.0, 2.8197455
10440.0, 2.818075
10450.0, 2.816407
10460.0, 2.8147416
10470.0, 2.8130784
10480.0, 2.8114178
10490.0, 2.8097596
10500.0, 2.808103
10510.0, 2.8064504
10520.0, 2.8047988
10530.0, 2.8031507
10540.0, 2.8015044
10550.0, 2.7998605
10560.0, 2.7982192
10570.0, 2.7965806
10580.0, 2.7949438
10590.0, 2.7933097
10600.0, 2.7916782
10610.0, 2.7900484
10620.0, 2.7884216
10630.0, 2.7867968
10640.0, 2.7851746
10650.0, 2.783555
10660.0, 2.7819374
10670.0, 2.7803218
10680.0, 2.778709
10690.0, 2.7770984
10700.0, 2.7754905
10710.0, 2.7738845
10720.0, 2.772281
10730.0, 2.7706795
10740.0, 2.7690804
10750.0, 2.7674842
10760.0, 2.7658894
10770.0, 2.7642975
10780.0, 2.762708
10790.0, 2.7611206
10800.0, 2.759535
10810.0, 2.757952
10820.0, 2.7563713
10830.0, 2.754793
10840.0, 2.7532165
10850.0, 2.7516427
10860.0, 2.750071
10870.0, 2.7485018
10880.0, 2.7469347
10890.0, 2.7453692
10900.0, 2.743807
10910.0, 2.7422462
10920.0, 2.7406876
10930.0, 2.7391317
10940.0, 2.737578
10950.0, 2.7360263
10960.0, 2.7344766
10970.0, 2.7329297
10980.0, 2.7313845
10990.0, 2.7298417
11000.0, 2.7283008
11010.0, 2.7267623
11020.0, 2.7252257
11030.0, 2.7236917
11040.0, 2.7221594
11050.0, 2.7206292
11060.0, 2.7191017
11070.0, 2.7175758
11080.0, 2.7160525
11090.0, 2.7145314
11100.0, 2.7130117
11110.0, 2.711495
11120.0, 2.7099798
11130.0, 2.7084668
11140.0, 2.7069561
11150.0, 2.7054474
11160.0, 2.7039409
11170.0, 2.7024364
11180.0, 2.7009337
11190.0, 2.6994336
11200.0, 2.6979353
11210.0, 2.696439
11220.0, 2.6949446
11230.0, 2.693453
11240.0, 2.6919634
11250.0, 2.690475
11260.0, 2.6889896
11270.0, 2.6875057
11280.0, 2.6860235
11290.0, 2.684544
11300.0, 2.6830666
11310.0, 2.6815908
11320.0, 2.6801176
11330.0, 2.6786458
11340.0, 2.6771762
11350.0, 2.6757085
11360.0, 2.6742432
11370.0, 2.6727798
11380.0, 2.671318
11390.0, 2.6698585
11400.0, 2.6684012
11410.0, 2.6669455
11420.0, 2.6654918
11430.0, 2.6640406
11440.0, 2.662591
11450.0, 2.6611435
11460.0, 2.6596975
11470.0, 2.6582537
11480.0, 2.6568122
11490.0, 2.6553724
11500.0, 2.6539345
11510.0, 2.6524985
11520.0, 2.6510649
11530.0, 2.6496325
11540.0, 2.6482027
11550.0, 2.6467748
11560.0, 2.6453483
11570.0, 2.6439238
11580.0, 2.6425016
11590.0, 2.6410809
11600.0, 2.6396627
11610.0, 2.6382458
11620.0, 2.6368313
11630.0, 2.635418
11640.0, 2.6340075
11650.0, 2.6325986
11660.0, 2.631191
11670.0, 2.629786
11680.0, 2.628382
11690.0, 2.6269808
11700.0, 2.6255813
11710.0, 2.6241837
11720.0, 2.6227875
11730.0, 2.621393
11740.0, 2.620001
11750.0, 2.6186106
11760.0, 2.6172223
11770.0, 2.6158361
11780.0, 2.6144507
11790.0, 2.6130674
11800.0, 2.6116862
11810.0, 2.610307
11820.0, 2.6089299
11830.0, 2.6075535
11840.0, 2.6061797
11850.0, 2.6048076
11860.0, 2.6034377
11870.0, 2.602069
