Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
9590.0, 0.5254232
9600.0, 0.5250144
9610.0, 0.5246064
9620.0, 0.5241991
9630.0, 0.52379245
9640.0, 0.5233864
9650.0, 0.5229811
9660.0, 0.52257645
9670.0, 0.5221726
9680.0, 0.52176917
9690.0, 0.52136654
9700.0, 0.5209645
9710.0, 0.52056324
9720.0, 0.5201625
9730.0, 0.5197626
9740.0, 0.5193632
9750.0, 0.5189645
9760.0, 0.51856655
9770.0, 0.51816916
9780.0, 0.51777244
9790.0, 0.51737636
9800.0, 0.51698095
9810.0, 0.5165861
9820.0, 0.516192
9830.0, 0.51579845
9840.0, 0.5154056
9850.0, 0.5150134
9860.0, 0.5146219
9870.0, 0.5142309
9880.0, 0.5138406
9890.0, 0.513451
9900.0, 0.513062
9910.0, 0.5126735
9920.0, 0.5122857
9930.0, 0.5118986
9940.0, 0.5115121
9950.0, 0.51112616
9960.0, 0.5107408
9970.0, 0.5103562
9980.0, 0.5099722
9990.0, 0.5095888
10000.0, 0.509206
10010.0, 0.5088237
10020.0, 0.50844216
10030.0, 0.50806123
10040.0, 0.50768083
10050.0, 0.5073011
10060.0, 0.50692195
10070.0, 0.5065435
10080.0, 0.50616556
10090.0, 0.5057882
10100.0, 0.50541145
10110.0, 0.5050354
10120.0, 0.50465983
10130.0, 0.5042849
10140.0, 0.50391054
10150.0, 0.5035368
10160.0, 0.5031637
10170.0, 0.50279117
10180.0, 0.5024192
10190.0, 0.5020478
10200.0, 0.501677
10210.0, 0.5013068
10220.0, 0.50093716
10230.0, 0.50056815
10240.0, 0.5001997
10250.0, 0.49983177
10260.0, 0.49946445
10270.0, 0.49909773
10280.0, 0.49873158
10290.0, 0.498366
10300.0, 0.49800104
10310.0, 0.49763662
10320.0, 0.49727276
10330.0, 0.49690947
10340.0, 0.49654675
10350.0, 0.4961846
10360.0, 0.49582297
10370.0, 0.49546188
10380.0, 0.4951015
10390.0, 0.49474156
10400.0, 0.49438226
10410.0, 0.49402344
10420.0, 0.4936652
10430.0, 0.4933075
10440.0, 0.49295038
10450.0, 0.49259382
10460.0, 0.49223784
10470.0, 0.49188235
10480.0, 0.4915274
10490.0, 0.4911731
10500.0, 0.49081922
10510.0, 0.49046597
10520.0, 0.49011323
10530.0, 0.48976102
10540.0, 0.48940936
10550.0, 0.48905823
10560.0, 0.4887077
10570.0, 0.4883577
10580.0, 0.48800808
10590.0, 0.48765913
10600.0, 0.48731065
10610.0, 0.4869628
10620.0, 0.48661542
10630.0, 0.48626852
10640.0, 0.48592225
10650.0, 0.48557648
10660.0, 0.48523125
10670.0, 0.48488647
10680.0, 0.48454225
10690.0, 0.48419854
10700.0, 0.48385537
10710.0, 0.48351264
10720.0, 0.48317057
10730.0, 0.48282894
10740.0, 0.48248792
10750.0, 0.48214728
10760.0, 0.48180723
10770.0, 0.48146757
10780.0, 0.48112848
10790.0, 0.48079002
10800.0, 0.48045206
10810.0, 0.4801145
10820.0, 0.4797774
10830.0, 0.479441
10840.0, 0.47910497
10850.0, 0.47876945
10860.0, 0.47843438
10870.0, 0.4780999
10880.0, 0.47776592
10890.0, 0.47743237
10900.0, 0.4770994
10910.0, 0.47676685
10920.0, 0.47643486
10930.0, 0.47610337
10940.0, 0.47577232
10950.0, 0.47544184
10960.0, 0.47511175
10970.0, 0.4747822
10980.0, 0.4744531
10990.0, 0.47412452
11000.0, 0.47379643
11010.0, 0.47346884
11020.0, 0.47314173
11030.0, 0.47281507
11040.0, 0.4724889
11050.0, 0.47216326
11060.0, 0.47183803
11070.0, 0.47151327
11080.0, 0.47118908
11090.0, 0.4708653
11100.0, 0.47054207
11110.0, 0.4702192
11120.0, 0.46989685
11130.0, 0.4695749
11140.0, 0.46925357
11150.0, 0.46893263
11160.0, 0.46861222
11170.0, 0.46829212
11180.0, 0.46797264
11190.0, 0.46765357
11200.0, 0.467335
11210.0, 0.46701685
11220.0, 0.46669915
11230.0, 0.46638197
11240.0, 0.4660652
11250.0, 0.46574888
11260.0, 0.46543303
11270.0, 0.4651177
11280.0, 0.4648028
11290.0, 0.4644883
11300.0, 0.46417433
11310.0, 0.4638607
11320.0, 0.46354765
11330.0, 0.463235
11340.0, 0.46292272
11350.0, 0.462611
11360.0, 0.46229973
11370.0, 0.4619889
11380.0, 0.4616784
11390.0, 0.46136844
11400.0, 0.46105894
11410.0, 0.4607499
11420.0, 0.46044123
11430.0, 0.460133
11440.0, 0.4598253
11450.0, 0.4595179
11460.0, 0.4592111
11470.0, 0.45890462
11480.0, 0.4585987
11490.0, 0.4582931
11500.0, 0.457988
11510.0, 0.4576832
11520.0, 0.45737892
11530.0, 0.45707512
11540.0, 0.4567718
11550.0, 0.45646873
11560.0, 0.45616624
11570.0, 0.4558641
11580.0, 0.45556244
11590.0, 0.45526114
11600.0, 0.45496035
11610.0, 0.4546599
