Energy (in eV), backscattering yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
8900.0, 0.23402916
8910.0, 0.23398209
8920.0, 0.2339351
8930.0, 0.2338882
8940.0, 0.23384137
8950.0, 0.23379463
8960.0, 0.23374799
8970.0, 0.23370145
8980.0, 0.23365498
8990.0, 0.23360859
9000.0, 0.23356229
9010.0, 0.2335161
9020.0, 0.23346996
9030.0, 0.23342393
9040.0, 0.23337795
9050.0, 0.2333321
9060.0, 0.23328632
9070.0, 0.23324062
9080.0, 0.23319499
9090.0, 0.23314948
9100.0, 0.23310404
9110.0, 0.23305868
9120.0, 0.2330134
9130.0, 0.23296821
9140.0, 0.2329231
9150.0, 0.2328781
9160.0, 0.23283315
9170.0, 0.23278831
9180.0, 0.23274353
9190.0, 0.23269884
9200.0, 0.23265426
9210.0, 0.23260973
9220.0, 0.23256528
9230.0, 0.23252094
9240.0, 0.23247667
9250.0, 0.23243248
9260.0, 0.23238836
9270.0, 0.23234434
9280.0, 0.2323004
9290.0, 0.23225655
9300.0, 0.23221277
9310.0, 0.23216908
9320.0, 0.23212545
9330.0, 0.23208192
9340.0, 0.23203847
9350.0, 0.2319951
9360.0, 0.2319518
9370.0, 0.2319086
9380.0, 0.23186547
9390.0, 0.23182243
9400.0, 0.23177946
9410.0, 0.23173657
9420.0, 0.23169376
9430.0, 0.23165105
9440.0, 0.23160838
9450.0, 0.23156583
9460.0, 0.23152333
9470.0, 0.23148093
9480.0, 0.23143859
9490.0, 0.23139633
9500.0, 0.23135418
9510.0, 0.23131208
9520.0, 0.23127006
9530.0, 0.23122814
9540.0, 0.23118629
9550.0, 0.2311445
9560.0, 0.23110281
9570.0, 0.23106118
9580.0, 0.23101965
9590.0, 0.23097818
9600.0, 0.23093678
9610.0, 0.23089547
9620.0, 0.23085423
9630.0, 0.23081309
9640.0, 0.230772
9650.0, 0.230731
9660.0, 0.23069006
9670.0, 0.23064922
9680.0, 0.23060845
9690.0, 0.23056775
9700.0, 0.23052715
9710.0, 0.2304866
9720.0, 0.23044612
9730.0, 0.23040573
9740.0, 0.23036543
9750.0, 0.23032519
9760.0, 0.23028502
9770.0, 0.23024493
9780.0, 0.23020491
9790.0, 0.23016497
9800.0, 0.23012511
9810.0, 0.23008533
9820.0, 0.2300456
9830.0, 0.23000596
9840.0, 0.2299664
9850.0, 0.22992691
9860.0, 0.2298875
9870.0, 0.22984813
9880.0, 0.22980888
9890.0, 0.22976969
9900.0, 0.22973055
9910.0, 0.22969152
9920.0, 0.22965252
9930.0, 0.22961363
9940.0, 0.2295748
9950.0, 0.22953604
9960.0, 0.22949736
9970.0, 0.22945876
9980.0, 0.22942021
9990.0, 0.22938175
10000.0, 0.22934335
10010.0, 0.22930504
10020.0, 0.22926679
10030.0, 0.22922862
10040.0, 0.2291905
10050.0, 0.22915247
10060.0, 0.22911453
10070.0, 0.22907662
10080.0, 0.2290388
10090.0, 0.22900106
10100.0, 0.22896338
10110.0, 0.22892576
10120.0, 0.22888824
10130.0, 0.22885077
10140.0, 0.22881337
10150.0, 0.22877607
10160.0, 0.2287388
10170.0, 0.22870162
10180.0, 0.2286645
10190.0, 0.22862746
10200.0, 0.22859049
10210.0, 0.22855358
10220.0, 0.22851674
10230.0, 0.22847998
10240.0, 0.22844328
10250.0, 0.22840667
10260.0, 0.2283701
10270.0, 0.2283336
10280.0, 0.2282972
10290.0, 0.22826084
10300.0, 0.22822458
10310.0, 0.22818835
