Energy (in eV), SEEE yield of material CERS-NASCAP at isotropic incidence
   X,       Y
10090.0, 2.8593388
10100.0, 2.8575726
10110.0, 2.8558095
10120.0, 2.8540487
10130.0, 2.8522906
10140.0, 2.8505359
10150.0, 2.8487835
10160.0, 2.847034
10170.0, 2.8452866
10180.0, 2.8435426
10190.0, 2.841801
10200.0, 2.8400617
10210.0, 2.8383255
10220.0, 2.836592
10230.0, 2.8348613
10240.0, 2.8331325
10250.0, 2.8314068
10260.0, 2.8296843
10270.0, 2.8279636
10280.0, 2.826246
10290.0, 2.8245306
10300.0, 2.822818
10310.0, 2.8211079
10320.0, 2.8194005
10330.0, 2.8176963
10340.0, 2.8159935
10350.0, 2.814294
10360.0, 2.8125968
10370.0, 2.8109024
10380.0, 2.8092105
10390.0, 2.807521
10400.0, 2.8058348
10410.0, 2.80415
10420.0, 2.802468
10430.0, 2.8007889
10440.0, 2.7991123
10450.0, 2.7974381
10460.0, 2.7957666
10470.0, 2.7940974
10480.0, 2.7924306
10490.0, 2.7907667
10500.0, 2.789105
10510.0, 2.7874453
10520.0, 2.7857888
10530.0, 2.7841344
10540.0, 2.7824826
10550.0, 2.780833
10560.0, 2.779186
10570.0, 2.777542
10580.0, 2.7758996
10590.0, 2.77426
10600.0, 2.772623
10610.0, 2.7709882
10620.0, 2.769356
10630.0, 2.7677257
10640.0, 2.7660983
10650.0, 2.7644732
10660.0, 2.7628508
10670.0, 2.7612302
10680.0, 2.7596123
10690.0, 2.7579966
10700.0, 2.7563837
10710.0, 2.7547727
10720.0, 2.7531643
10730.0, 2.7515578
10740.0, 2.7499542
10750.0, 2.7483528
10760.0, 2.7467535
10770.0, 2.7451568
10780.0, 2.7435625
10790.0, 2.7419705
10800.0, 2.7403805
10810.0, 2.7387936
10820.0, 2.7372081
10830.0, 2.735625
10840.0, 2.7340446
10850.0, 2.7324662
10860.0, 2.7308905
10870.0, 2.7293165
10880.0, 2.727745
10890.0, 2.726176
10900.0, 2.7246094
10910.0, 2.7230446
10920.0, 2.721482
10930.0, 2.719922
10940.0, 2.718364
10950.0, 2.7168083
10960.0, 2.715255
10970.0, 2.7137039
10980.0, 2.712155
10990.0, 2.710608
11000.0, 2.7090635
11010.0, 2.7075212
11020.0, 2.7059808
11030.0, 2.7044432
11040.0, 2.7029073
11050.0, 2.7013738
11060.0, 2.699842
11070.0, 2.698313
11080.0, 2.6967864
11090.0, 2.6952617
11100.0, 2.6937385
11110.0, 2.6922183
11120.0, 2.6906998
11130.0, 2.6891835
11140.0, 2.6876698
11150.0, 2.686158
11160.0, 2.684648
11170.0, 2.68314
11180.0, 2.6816342
11190.0, 2.680131
11200.0, 2.6786299
11210.0, 2.6771305
11220.0, 2.675633
11230.0, 2.6741385
11240.0, 2.6726453
11250.0, 2.6711545
11260.0, 2.6696658
11270.0, 2.6681793
11280.0, 2.6666942
11290.0, 2.6652124
11300.0, 2.6637316
11310.0, 2.6622534
11320.0, 2.6607773
11330.0, 2.659303
11340.0, 2.6578307
11350.0, 2.6563606
11360.0, 2.6548924
11370.0, 2.6534266
11380.0, 2.651962
11390.0, 2.6505003
11400.0, 2.6490407
11410.0, 2.6475823
11420.0, 2.6461265
11430.0, 2.6446726
11440.0, 2.643221
11450.0, 2.6417706
11460.0, 2.640323
11470.0, 2.6388767
11480.0, 2.6374328
11490.0, 2.6359906
11500.0, 2.6345508
11510.0, 2.6331127
11520.0, 2.631677
11530.0, 2.6302428
11540.0, 2.6288106
11550.0, 2.6273806
11560.0, 2.6259522
11570.0, 2.624526
11580.0, 2.6231017
11590.0, 2.621679
11600.0, 2.6202588
11610.0, 2.618841
11620.0, 2.617424
11630.0, 2.6160092
11640.0, 2.6145964
11650.0, 2.613186
11660.0, 2.6117773
11670.0, 2.61037
11680.0, 2.6089647
11690.0, 2.6075618
11700.0, 2.6061604
11710.0, 2.6047611
11720.0, 2.6033635
11730.0, 2.6019678
11740.0, 2.6005743
11750.0, 2.599182
11760.0, 2.5977921
11770.0, 2.596404
11780.0, 2.5950184
11790.0, 2.5936337
11800.0, 2.5922508
11810.0, 2.59087
11820.0, 2.5894916
11830.0, 2.5881143
11840.0, 2.586739
11850.0, 2.5853658
11860.0, 2.5839944
11870.0, 2.5826244
11880.0, 2.581257
