Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
9470.0, 0.28328958
9480.0, 0.2830673
9490.0, 0.28284544
9500.0, 0.28262395
9510.0, 0.28240278
9520.0, 0.28218204
9530.0, 0.28196168
9540.0, 0.28174156
9550.0, 0.28152192
9560.0, 0.28130263
9570.0, 0.2810837
9580.0, 0.28086513
9590.0, 0.28064692
9600.0, 0.28042904
9610.0, 0.2802116
9620.0, 0.27999446
9630.0, 0.2797777
9640.0, 0.27956125
9650.0, 0.2793452
9660.0, 0.2791295
9670.0, 0.2789142
9680.0, 0.2786992
9690.0, 0.27848455
9700.0, 0.2782703
9710.0, 0.27805638
9720.0, 0.2778428
9730.0, 0.2776296
9740.0, 0.2774167
9750.0, 0.27720422
9760.0, 0.27699202
9770.0, 0.27678022
9780.0, 0.2765687
9790.0, 0.2763576
9800.0, 0.27614677
9810.0, 0.2759363
9820.0, 0.2757262
9830.0, 0.27551645
9840.0, 0.27530703
9850.0, 0.2750979
9860.0, 0.27488923
9870.0, 0.2746808
9880.0, 0.27447274
9890.0, 0.274265
9900.0, 0.27405763
9910.0, 0.27385056
9920.0, 0.27364382
9930.0, 0.2734374
9940.0, 0.27323136
9950.0, 0.2730256
9960.0, 0.2728202
9970.0, 0.27261513
9980.0, 0.27241042
9990.0, 0.27220598
10000.0, 0.2720019
10010.0, 0.27179813
10020.0, 0.2715947
10030.0, 0.27139163
10040.0, 0.27118883
10050.0, 0.27098635
10060.0, 0.2707842
10070.0, 0.2705824
10080.0, 0.2703809
10090.0, 0.27017972
10100.0, 0.26997888
10110.0, 0.2697783
10120.0, 0.26957813
10130.0, 0.26937824
10140.0, 0.26917866
10150.0, 0.2689794
10160.0, 0.26878047
10170.0, 0.26858184
10180.0, 0.26838347
10190.0, 0.26818547
10200.0, 0.26798773
10210.0, 0.26779038
10220.0, 0.26759326
10230.0, 0.2673965
10240.0, 0.26720005
10250.0, 0.2670039
10260.0, 0.26680803
10270.0, 0.2666125
10280.0, 0.26641726
10290.0, 0.26622236
10300.0, 0.26602772
10310.0, 0.26583344
10320.0, 0.26563945
10330.0, 0.2654457
10340.0, 0.2652523
10350.0, 0.2650592
