Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 70.0 degree
   X,       Y
10590.0, 0.48334882
10600.0, 0.48331553
10610.0, 0.4832823
10620.0, 0.48324916
10630.0, 0.48321605
10640.0, 0.483183
10650.0, 0.48315004
10660.0, 0.4831171
10670.0, 0.48308426
10680.0, 0.48305145
10690.0, 0.48301873
10700.0, 0.48298606
10710.0, 0.48295346
10720.0, 0.4829209
10730.0, 0.48288843
10740.0, 0.48285598
10750.0, 0.4828236
10760.0, 0.48279133
10770.0, 0.4827591
10780.0, 0.4827269
10790.0, 0.48269477
10800.0, 0.4826627
10810.0, 0.4826307
10820.0, 0.48259875
10830.0, 0.48256686
10840.0, 0.48253506
10850.0, 0.4825033
10860.0, 0.4824716
10870.0, 0.48243994
10880.0, 0.48240834
10890.0, 0.4823768
10900.0, 0.48234534
10910.0, 0.48231393
10920.0, 0.48228258
10930.0, 0.4822513
10940.0, 0.48222005
10950.0, 0.48218888
10960.0, 0.48215777
10970.0, 0.4821267
10980.0, 0.48209572
10990.0, 0.48206475
11000.0, 0.48203388
11010.0, 0.48200306
11020.0, 0.48197228
11030.0, 0.48194158
11040.0, 0.4819109
11050.0, 0.48188034
11060.0, 0.4818498
11070.0, 0.4818193
11080.0, 0.48178887
11090.0, 0.4817585
11100.0, 0.4817282
11110.0, 0.48169795
11120.0, 0.48166776
11130.0, 0.48163763
11140.0, 0.48160753
11150.0, 0.48157752
11160.0, 0.48154753
11170.0, 0.4815176
11180.0, 0.48148775
11190.0, 0.48145798
11200.0, 0.4814282
11210.0, 0.48139852
11220.0, 0.4813689
11230.0, 0.4813393
11240.0, 0.4813098
11250.0, 0.48128033
11260.0, 0.4812509
11270.0, 0.48122156
11280.0, 0.48119226
11290.0, 0.48116302
11300.0, 0.48113382
11310.0, 0.4811047
11320.0, 0.4810756
11330.0, 0.4810466
11340.0, 0.48101762
11350.0, 0.48098868
11360.0, 0.48095983
11370.0, 0.480931
11380.0, 0.48090225
11390.0, 0.48087355
11400.0, 0.48084491
11410.0, 0.48081633
11420.0, 0.48078778
11430.0, 0.48075932
11440.0, 0.4807309
11450.0, 0.4807025
11460.0, 0.48067418
11470.0, 0.4806459
11480.0, 0.4806177
11490.0, 0.48058954
11500.0, 0.4805614
11510.0, 0.48053336
11520.0, 0.48050535
11530.0, 0.4804774
11540.0, 0.4804495
11550.0, 0.48042166
11560.0, 0.48039386
11570.0, 0.4803661
