Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 70.0 degree
   X,       Y
10520.0, 0.3975039
10530.0, 0.39745474
10540.0, 0.39740565
10550.0, 0.39735666
10560.0, 0.39730775
10570.0, 0.3972589
10580.0, 0.39721018
10590.0, 0.3971615
10600.0, 0.39711294
10610.0, 0.39706445
10620.0, 0.39701605
10630.0, 0.39696774
10640.0, 0.39691952
10650.0, 0.3968714
10660.0, 0.39682332
10670.0, 0.39677534
10680.0, 0.39672744
10690.0, 0.39667967
10700.0, 0.39663193
10710.0, 0.3965843
10720.0, 0.39653674
10730.0, 0.3964893
10740.0, 0.39644188
10750.0, 0.39639458
10760.0, 0.39634737
10770.0, 0.39630023
10780.0, 0.3962532
10790.0, 0.39620623
10800.0, 0.39615935
10810.0, 0.39611253
10820.0, 0.39606583
10830.0, 0.3960192
10840.0, 0.39597264
10850.0, 0.39592618
10860.0, 0.3958798
10870.0, 0.3958335
10880.0, 0.39578727
10890.0, 0.39574113
10900.0, 0.39569506
10910.0, 0.3956491
10920.0, 0.39560318
10930.0, 0.39555737
10940.0, 0.39551166
10950.0, 0.395466
10960.0, 0.39542043
10970.0, 0.39537495
10980.0, 0.39532954
10990.0, 0.3952842
11000.0, 0.39523897
11010.0, 0.3951938
11020.0, 0.3951487
11030.0, 0.3951037
11040.0, 0.39505878
11050.0, 0.39501393
11060.0, 0.39496917
11070.0, 0.3949245
11080.0, 0.39487988
11090.0, 0.39483535
11100.0, 0.3947909
11110.0, 0.39474654
11120.0, 0.39470226
11130.0, 0.39465803
11140.0, 0.3946139
11150.0, 0.39456984
11160.0, 0.3945259
11170.0, 0.394482
11180.0, 0.39443815
11190.0, 0.39439443
11200.0, 0.39435077
11210.0, 0.39430717
11220.0, 0.39426368
11230.0, 0.39422026
11240.0, 0.3941769
11250.0, 0.39413363
11260.0, 0.3940904
11270.0, 0.39404732
11280.0, 0.39400426
11290.0, 0.3939613
11300.0, 0.39391842
11310.0, 0.39387563
11320.0, 0.3938329
11330.0, 0.39379022
11340.0, 0.39374763
11350.0, 0.39370513
11360.0, 0.39366272
11370.0, 0.39362037
11380.0, 0.39357808
11390.0, 0.39353588
11400.0, 0.39349374
11410.0, 0.3934517
11420.0, 0.39340973
11430.0, 0.39336783
11440.0, 0.393326
11450.0, 0.39328426
11460.0, 0.39324257
11470.0, 0.393201
11480.0, 0.39315945
11490.0, 0.39311802
11500.0, 0.39307663
11510.0, 0.39303532
11520.0, 0.3929941
11530.0, 0.39295295
11540.0, 0.39291188
11550.0, 0.39287087
