Energy (in eV), SEEE yield of material te2k-NASCAP at isotropic incidence
   X,       Y
11090.0, 0.5432388
11100.0, 0.54286414
11110.0, 0.5424899
11120.0, 0.54211634
11130.0, 0.54174334
11140.0, 0.5413709
11150.0, 0.5409991
11160.0, 0.54062784
11170.0, 0.5402573
11180.0, 0.5398872
11190.0, 0.5395177
11200.0, 0.5391488
11210.0, 0.53878045
11220.0, 0.53841275
11230.0, 0.5380455
11240.0, 0.53767896
11250.0, 0.5373129
11260.0, 0.5369474
11270.0, 0.5365826
11280.0, 0.53621817
11290.0, 0.5358545
11300.0, 0.53549135
11310.0, 0.5351287
11320.0, 0.5347666
11330.0, 0.5344051
11340.0, 0.53404427
11350.0, 0.5336838
11360.0, 0.533324
11370.0, 0.53296477
11380.0, 0.53260607
11390.0, 0.53224784
11400.0, 0.5318903
11410.0, 0.53153324
11420.0, 0.53117675
11430.0, 0.5308208
11440.0, 0.5304654
11450.0, 0.53011054
11460.0, 0.5297562
11470.0, 0.52940243
11480.0, 0.52904916
11490.0, 0.52869654
11500.0, 0.5283444
11510.0, 0.5279927
11520.0, 0.5276416
11530.0, 0.52729106
11540.0, 0.5269412
11550.0, 0.5265916
11560.0, 0.5262427
11570.0, 0.5258943
11580.0, 0.52554643
11590.0, 0.525199
11600.0, 0.52485216
11610.0, 0.52450585
11620.0, 0.52416
11630.0, 0.52381486
11640.0, 0.5234701
