Energy (in eV), SEEE yield of material np2k-NASCAP at isotropic incidence
   X,       Y
9130.0, 4.369718E-15
9140.0, 4.3278246E-15
9150.0, 4.2863814E-15
9160.0, 4.2453766E-15
9170.0, 4.2048075E-15
9180.0, 4.1646696E-15
9190.0, 4.1249628E-15
9200.0, 4.0856723E-15
9210.0, 4.0467977E-15
9220.0, 4.0083357E-15
9230.0, 3.9702836E-15
9240.0, 3.9326296E-15
9250.0, 3.8953737E-15
9260.0, 3.8585087E-15
9270.0, 3.822033E-15
9280.0, 3.7859446E-15
9290.0, 3.7502308E-15
9300.0, 3.714893E-15
9310.0, 3.6799245E-15
9320.0, 3.6453257E-15
9330.0, 3.611086E-15
9340.0, 3.577204E-15
9350.0, 3.5436756E-15
9360.0, 3.5105E-15
9370.0, 3.4776663E-15
9380.0, 3.4451748E-15
9390.0, 3.4130208E-15
9400.0, 3.3812037E-15
9410.0, 3.3497133E-15
9420.0, 3.31855E-15
9430.0, 3.2877084E-15
9440.0, 3.2571885E-15
9450.0, 3.2269814E-15
9460.0, 3.1970858E-15
9470.0, 3.167498E-15
9480.0, 3.1382181E-15
9490.0, 3.1092362E-15
9500.0, 3.0805523E-15
9510.0, 3.0521625E-15
