Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 10.0 degree
   X,       Y
9970.0, 0.082584776
9980.0, 0.08255694
9990.0, 0.08252915
10000.0, 0.08250143
10010.0, 0.082473755
10020.0, 0.082446136
10030.0, 0.08241857
10040.0, 0.08239105
10050.0, 0.082363605
10060.0, 0.0823362
10070.0, 0.08230886
10080.0, 0.08228157
10090.0, 0.082254335
10100.0, 0.08222715
10110.0, 0.08220003
10120.0, 0.082172945
10130.0, 0.08214593
10140.0, 0.082118966
10150.0, 0.082092054
10160.0, 0.082065195
10170.0, 0.08203839
10180.0, 0.08201164
10190.0, 0.08198494
10200.0, 0.081958294
10210.0, 0.0819317
10220.0, 0.081905164
10230.0, 0.08187868
10240.0, 0.08185224
10250.0, 0.08182587
10260.0, 0.08179954
10270.0, 0.081773266
10280.0, 0.08174704
10290.0, 0.08172087
10300.0, 0.08169475
10310.0, 0.08166868
10320.0, 0.08164267
10330.0, 0.08161671
10340.0, 0.081590794
10350.0, 0.08156493
10360.0, 0.08153913
10370.0, 0.08151337
10380.0, 0.08148767
10390.0, 0.08146201
10400.0, 0.08143641
10410.0, 0.081410855
10420.0, 0.08138536
10430.0, 0.08135991
10440.0, 0.08133451
10450.0, 0.08130916
10460.0, 0.08128386
10470.0, 0.08125862
10480.0, 0.08123342
10490.0, 0.08120827
10500.0, 0.08118317
10510.0, 0.08115813
10520.0, 0.081133135
10530.0, 0.08110818
10540.0, 0.08108329
10550.0, 0.08105844
10560.0, 0.08103364
10570.0, 0.08100889
10580.0, 0.08098419
10590.0, 0.08095954
10600.0, 0.08093494
10610.0, 0.08091039
10620.0, 0.08088589
10630.0, 0.08086143
10640.0, 0.080837026
10650.0, 0.08081267
10660.0, 0.08078836
10670.0, 0.0807641
10680.0, 0.080739886
10690.0, 0.08071573
10700.0, 0.08069161
10710.0, 0.08066755
10720.0, 0.08064353
10730.0, 0.08061956
10740.0, 0.08059563
10750.0, 0.08057175
10760.0, 0.08054793
10770.0, 0.08052415
10780.0, 0.08050042
10790.0, 0.08047673
10800.0, 0.08045309
10810.0, 0.080429494
10820.0, 0.08040595
10830.0, 0.08038246
10840.0, 0.080359004
10850.0, 0.0803356
10860.0, 0.080312245
10870.0, 0.08028893
10880.0, 0.08026566
10890.0, 0.080242455
10900.0, 0.080219276
10910.0, 0.08019616
10920.0, 0.080173075
10930.0, 0.08015004
10940.0, 0.08012705
10950.0, 0.08010411
10960.0, 0.08008121
10970.0, 0.080058366
10980.0, 0.08003556
10990.0, 0.080012806
11000.0, 0.07999009
11010.0, 0.07996742
11020.0, 0.0799448
11030.0, 0.07992222
11040.0, 0.07989968
11050.0, 0.0798772
11060.0, 0.07985476
11070.0, 0.07983235
11080.0, 0.07981
11090.0, 0.079787694
11100.0, 0.079765424
11110.0, 0.07974321
11120.0, 0.079721026
11130.0, 0.0796989
11140.0, 0.07967681
11150.0, 0.07965477
11160.0, 0.07963277
11170.0, 0.07961081
11180.0, 0.0795889
11190.0, 0.07956703
11200.0, 0.0795452
11210.0, 0.07952342
11220.0, 0.07950168
11230.0, 0.07947999
11240.0, 0.07945833
11250.0, 0.07943673
11260.0, 0.079415165
11270.0, 0.07939364
11280.0, 0.07937217
11290.0, 0.079350725
11300.0, 0.079329334
11310.0, 0.07930798
11320.0, 0.07928667
11330.0, 0.07926541
11340.0, 0.07924418
11350.0, 0.079223
11360.0, 0.07920186
11370.0, 0.07918077
11380.0, 0.07915971
11390.0, 0.079138696
11400.0, 0.07911773
11410.0, 0.079096794
11420.0, 0.07907591
11430.0, 0.07905506
11440.0, 0.07903426
11450.0, 0.0790135
11460.0, 0.07899277
11470.0, 0.078972094
11480.0, 0.078951456
11490.0, 0.07893086
11500.0, 0.078910306
11510.0, 0.07888979
11520.0, 0.07886931
11530.0, 0.078848876
