Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 10.0 degree
   X,       Y
9710.0, 0.12562582
9720.0, 0.12559667
9730.0, 0.1255676
9740.0, 0.12553857
9750.0, 0.12550962
9760.0, 0.12548071
9770.0, 0.12545186
9780.0, 0.12542307
9790.0, 0.12539433
9800.0, 0.12536566
9810.0, 0.12533705
9820.0, 0.12530848
9830.0, 0.12527998
9840.0, 0.12525153
9850.0, 0.12522314
9860.0, 0.1251948
9870.0, 0.12516654
9880.0, 0.12513831
9890.0, 0.12511013
9900.0, 0.12508205
9910.0, 0.12505399
9920.0, 0.12502599
9930.0, 0.12499805
9940.0, 0.12497016
9950.0, 0.12494233
9960.0, 0.12491456
9970.0, 0.12488683
9980.0, 0.12485918
9990.0, 0.12483157
10000.0, 0.12480401
10010.0, 0.12477652
10020.0, 0.12474907
10030.0, 0.12472168
10040.0, 0.12469435
10050.0, 0.12466707
10060.0, 0.12463985
10070.0, 0.124612674
10080.0, 0.12458556
10090.0, 0.1245585
10100.0, 0.124531485
10110.0, 0.12450454
10120.0, 0.12447763
10130.0, 0.12445079
10140.0, 0.124423996
10150.0, 0.124397255
10160.0, 0.12437057
10170.0, 0.12434393
10180.0, 0.124317355
10190.0, 0.124290824
10200.0, 0.12426435
10210.0, 0.124237925
10220.0, 0.12421156
10230.0, 0.12418524
10240.0, 0.12415898
10250.0, 0.12413277
10260.0, 0.12410661
10270.0, 0.12408051
10280.0, 0.12405445
10290.0, 0.12402845
10300.0, 0.124002494
10310.0, 0.123976596
10320.0, 0.12395075
10330.0, 0.123924956
10340.0, 0.12389921
10350.0, 0.12387351
10360.0, 0.12384788
10370.0, 0.12382228
10380.0, 0.12379674
10390.0, 0.12377125
10400.0, 0.123745814
10410.0, 0.12372043
10420.0, 0.12369509
10430.0, 0.12366981
10440.0, 0.123644575
10450.0, 0.123619385
10460.0, 0.12359425
10470.0, 0.12356917
10480.0, 0.12354413
10490.0, 0.123519145
10500.0, 0.12349421
10510.0, 0.12346932
10520.0, 0.12344449
10530.0, 0.1234197
10540.0, 0.123394966
10550.0, 0.12337028
10560.0, 0.12334564
10570.0, 0.12332105
10580.0, 0.123296514
10590.0, 0.123272024
10600.0, 0.12324758
10610.0, 0.123223186
10620.0, 0.123198844
10630.0, 0.12317455
10640.0, 0.1231503
10650.0, 0.123126104
10660.0, 0.12310195
10670.0, 0.12307784
10680.0, 0.12305379
10690.0, 0.12302979
